sample_name	sample_alias-ccle	sample_alias-sanger	primary_site	tumor_type	tumor_type_refined	sanger_cancer_type	sanger_cancer_type_detail
ACH-000443	OVKATE_OVARY	SIDM00466	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000447	NCIH2228_LUNG	SIDM00729	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000448	NCIH1666_LUNG	SIDM00743	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Bronchiolo-Alveolar Lung Carcinoma
ACH-000449	MESSA_SOFT_TISSUE	SIDM00625	Soft_Tissue	soft_tissue	soft_tissue	Other Solid Carcinomas	Uterine Corpus Sarcoma
ACH-000450	MELHO_SKIN	SIDM00337	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000452	TE8_OESOPHAGUS	SIDM00326	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000457	CAL54_KIDNEY	SIDM00932	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000463	NCIH460_LUNG	SIDM00144	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000465	SKMEL1_SKIN	SIDM01107	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000469	YH13_CENTRAL_NERVOUS_SYSTEM	SIDM00316	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000470	SW1463_LARGE_INTESTINE	SIDM00834	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Rectal Adenocarcinoma
ACH-000472	HSC2_UPPER_AERODIGESTIVE_TRACT	SIDM00590	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Oral Cavity Squamous Cell Carcinoma
ACH-000476	JHH4_LIVER	SIDM00616	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000480	HUH7_LIVER	SIDM00585	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000481	NCIH2170_LUNG	SIDM00716	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000482	RERFLCKJ_LUNG	SIDM00356	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000483	SNU182_LIVER	SIDM01151	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000484	VMRCRCW_KIDNEY	SIDM00318	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000486	KU1919_URINARY_TRACT	SIDM01033	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000488	TE11_OESOPHAGUS	SIDM00348	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000489	SW1116_LARGE_INTESTINE	SIDM00835	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000491	NCIH716_LARGE_INTESTINE	SIDM00779	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000496	NCIH1792_LUNG	SIDM00771	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000501	LS123_LARGE_INTESTINE	SIDM00776	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000504	SNB75_CENTRAL_NERVOUS_SYSTEM	SIDM00095	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000508	CORL88_LUNG	SIDM00506	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000510	NCIH1299_LUNG	SIDM00649	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000516	CAL78_BONE	SIDM00929	Bone	chondrosarcoma	chondrosarcoma	Chondrosarcoma	Chondrosarcoma
ACH-000518	CAL33_UPPER_AERODIGESTIVE_TRACT	SIDM00942	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Tongue Squamous Cell Carcinoma
ACH-000521	NCIH2030_LUNG	SIDM00715	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000522	UMUC3_URINARY_TRACT	SIDM01182	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000524	KURAMOCHI_OVARY	SIDM00554	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000525	NCIH2171_LUNG	SIDM00733	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000527	OVISE_OVARY	SIDM00564	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Clear Cell Adenocarcinoma
ACH-000528	ABC1_LUNG	SIDM00494	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000535	BXPC3_PANCREAS	SIDM00132	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000536	BT20_BREAST	SIDM00893	Breast	breast	breast	Breast Carcinoma	Breast Adenocarcinoma
ACH-000544	OE21_OESOPHAGUS	SIDM00478	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000546	HSC4_UPPER_AERODIGESTIVE_TRACT	SIDM00588	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Tongue Squamous Cell Carcinoma
ACH-000548	BHY_UPPER_AERODIGESTIVE_TRACT	SIDM00986	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Head and Neck Squamous Cell Carcinoma
ACH-000552	HT29_LARGE_INTESTINE	SIDM00136	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Rectosigmoid Adenocarcinoma
ACH-000555	A498_KIDNEY	SIDM00124	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000558	A172_CENTRAL_NERVOUS_SYSTEM	SIDM00799	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000559	NCIH1836_LUNG	SIDM00770	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000560	ECC10_STOMACH	SIDM00280	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Small Cell Carcinoma
ACH-000561	TT_OESOPHAGUS	SIDM00322	Na	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000562	HCC78_LUNG	SIDM01068	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000563	EBC1_LUNG	SIDM00486	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000566	SW1710_URINARY_TRACT	SIDM00420	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000569	ISTMES1_PLEURA	SIDM00224	Pleura	mesothelioma	mesothelioma	Mesothelioma	Pleural Epithelioid Mesothelioma
ACH-000570	YKG1_CENTRAL_NERVOUS_SYSTEM	SIDM00315	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
