case	comparison	snf_fda-cgc
ACH-000030	ACH-000042	0.980625985
ACH-000030	ACH-000047	0.9810214
ACH-000030	ACH-000052	0.980605821
ACH-000030	ACH-000055	0.979829874
ACH-000030	ACH-000062	0.980220569
ACH-000030	ACH-000067	0.979373627
ACH-000030	ACH-000078	0.981299626
ACH-000030	ACH-000082	0.981379383
ACH-000030	ACH-000087	0.981561958
ACH-000030	ACH-000092	0.981156353
ACH-000030	ACH-000094	0.980189254
ACH-000030	ACH-000098	0.981608953
ACH-000030	ACH-000099	0.980448168
ACH-000030	ACH-000100	0.981562677
ACH-000030	ACH-000102	0.980591111
ACH-000030	ACH-000103	0.980541207
ACH-000030	ACH-000107	0.980209658
ACH-000030	ACH-000109	0.97900222
ACH-000030	ACH-000111	0.981566162
ACH-000030	ACH-000114	0.980860231
ACH-000030	ACH-000115	0.980800934
ACH-000030	ACH-000117	0.980336007
ACH-000030	ACH-000121	0.980892717
ACH-000030	ACH-000129	0.980579721
ACH-000030	ACH-000132	0.980370112
ACH-000030	ACH-000138	0.980372652
ACH-000030	ACH-000139	0.979187301
ACH-000030	ACH-000142	0.98038538
ACH-000030	ACH-000144	0.981243186
ACH-000030	ACH-000145	0.981359277
ACH-000030	ACH-000147	0.981020551
ACH-000030	ACH-000148	0.981541219
ACH-000030	ACH-000149	0.981024554
ACH-000030	ACH-000159	0.980841425
ACH-000030	ACH-000161	0.979870471
ACH-000030	ACH-000171	0.980629681
ACH-000030	ACH-000174	0.981203931
ACH-000030	ACH-000176	0.979359988
ACH-000030	ACH-000181	0.981575286
ACH-000035	ACH-000001	0.980327406
ACH-000035	ACH-000007	0.980338996
ACH-000035	ACH-000008	0.980968989
ACH-000035	ACH-000009	0.980415375
ACH-000035	ACH-000012	0.98004028
ACH-000035	ACH-000015	0.979979027
ACH-000035	ACH-000023	0.980276966
ACH-000035	ACH-000030	0.979624158
ACH-000035	ACH-000035	0.427362851
ACH-000035	ACH-000040	0.98051096
ACH-000035	ACH-000042	0.980164005
ACH-000035	ACH-000047	0.980450079
ACH-000035	ACH-000052	0.980847404
ACH-000035	ACH-000055	0.980575713
ACH-000035	ACH-000062	0.980882036
ACH-000035	ACH-000067	0.979216345
ACH-000035	ACH-000078	0.980549762
ACH-000035	ACH-000082	0.980679915
ACH-000035	ACH-000087	0.981228269
ACH-000035	ACH-000092	0.980906089
ACH-000035	ACH-000094	0.981107703
ACH-000035	ACH-000098	0.980642025
ACH-000035	ACH-000099	0.980799557
ACH-000035	ACH-000100	0.980257163
ACH-000035	ACH-000102	0.981164909
ACH-000035	ACH-000103	0.981213235
ACH-000035	ACH-000107	0.98150041
ACH-000035	ACH-000109	0.979640523
ACH-000035	ACH-000111	0.980961849
ACH-000035	ACH-000114	0.981480953
ACH-000035	ACH-000115	0.98057229
ACH-000035	ACH-000117	0.981335377
ACH-000035	ACH-000121	0.980964527
ACH-000035	ACH-000129	0.980965757
ACH-000035	ACH-000132	0.981070432
ACH-000035	ACH-000138	0.981127959
ACH-000035	ACH-000139	0.981000535
ACH-000035	ACH-000142	0.980992968
ACH-000035	ACH-000144	0.980554292
ACH-000035	ACH-000145	0.980999212
ACH-000035	ACH-000147	0.980732845
ACH-000035	ACH-000148	0.980290862
ACH-000035	ACH-000149	0.980291468
ACH-000035	ACH-000159	0.980797548
ACH-000035	ACH-000161	0.981090055
ACH-000035	ACH-000171	0.980428971
ACH-000035	ACH-000174	0.980431065
ACH-000035	ACH-000176	0.979727118
ACH-000035	ACH-000181	0.980986303
ACH-000040	ACH-000001	0.9805624
ACH-000040	ACH-000007	0.980246953
ACH-000040	ACH-000008	0.980566006
ACH-000040	ACH-000009	0.980586454
ACH-000040	ACH-000012	0.980241931
ACH-000040	ACH-000015	0.980875998
ACH-000040	ACH-000023	0.98038845
ACH-000040	ACH-000030	0.981107013
ACH-000040	ACH-000035	0.98051096
ACH-000040	ACH-000040	0.426384273
ACH-000040	ACH-000042	0.98046675
ACH-000040	ACH-000047	0.980240504
ACH-000040	ACH-000052	0.980381141
ACH-000040	ACH-000055	0.980635029
ACH-000040	ACH-000062	0.98091779
ACH-000040	ACH-000067	0.980420946
ACH-000040	ACH-000078	0.979763797
ACH-000040	ACH-000082	0.980226189
ACH-000040	ACH-000087	0.980238824
ACH-000040	ACH-000092	0.980788081
ACH-000040	ACH-000094	0.981550275
ACH-000040	ACH-000098	0.980533295
ACH-000040	ACH-000099	0.980731308
ACH-000040	ACH-000100	0.980232604
ACH-000040	ACH-000102	0.980837078
ACH-000040	ACH-000103	0.981069513
ACH-000040	ACH-000107	0.981529208
ACH-000040	ACH-000109	0.981058385
ACH-000040	ACH-000111	0.980137608
ACH-000040	ACH-000114	0.981453619
ACH-000040	ACH-000115	0.980957624
